,,DESCENDENCIA EJEMPLAR,,,,,,,
,REGISTRO:,193844,,,,,,,
,NOMBRE:,ONIX (FC),,,,,,,
REGISTRO,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE,
REGISTRO0,NOMBRE,FECHA_NTO,COLOR,SEXO,MICROCHIP,GENO,ANDAR,PADRE/MADRE0
1282370,CAUDILLO DE SAN NICOLAS,15/08/2015,CASTAÑO,MACHO,AVID*839*020*127,GD,P3,1268910
1282470,PASION DE SAN BLAS,17/01/2015,CASTAÑO,HEMBRA,AVID*839*021*364,GD,P3,381950
1282600,MAGNATE DEL PARAISO,15/12/2014,BAYO,MACHO,AVID*840*073*113,GD,P3,1270010
1282740,VENDAVAL,28/10/2014,CASTAÑO,MACHO,AVID*840*035*597,GD,P3,1427340
1282750,DUQUEZA ONIX DE PESEBRERAS COROZAL,28/05/2015,CASTAÑO,HEMBRA,AVID*840*103*027,GD,P3,2073260
1282940,MALANDRA DE LA SONORA,15/07/2014,CASTAÑO,HEMBRA,AVID*840*077*548,GD,P2,1934720
1282950,ANDROMEDA DEL JUNCAL,16/04/2014,CASTAÑO,HEMBRA,AVID*840*060*334,GD,P2,2074320
1282980,RECOMPENSA DE SAN FRANCISCO,17/08/2013,CASTAÑO,HEMBRA,AVID*840*060*023,GD,P3,1270860
1283170,DONCELLA DE VILLA CIELO,28/03/2014,CASTAÑO,HEMBRA,AVID*063*609*881,GD,P3,1274900
1283440,ONIX JUNIOR DE VILLA ISABELA,18/07/2016,CASTAÑO,MACHO,AVID*844*628*084,GD,P3,1277620
1283480,IMPONENTE DE LA TANGUITA,05/10/2016,CASTAÑO,MACHO,AVID*844*768*882,GD,P3,2291030
1283550,POETA DE SANTA MARIA,05/10/2008,CASTAÑO,MACHO,AVID*841*517*366,GD,P3,1926200
1283580,ABRIL DE GERMANIA ACC,16/04/2014,CASTAÑO,HEMBRA,AVID*844*636*352,GD,P3,2401610
1283600,DANZA DEL DESVELO,25/04/2017,MORO,HEMBRA,AVID*844*632*847,GD,P3,2596980
1283730,J.J. DEL ASTRO,17/03/2017,CASTAÑO,MACHO,AVID*845*023*119,GD,P3,2174560
1283810,MARQUEZA DE LA JOYA,14/03/2016,CASTAÑO,HEMBRA,AVID*845*025*584,GD,P3,1270250
1283920,LEONELDA DE J.H.,20/07/2016,CASTAÑO,HEMBRA,AVID*844*873*818,GD,P3,1278090
1283930,PROMESA DE LA CAMPESINA,01/07/2016,CASTAÑO,HEMBRA,AVID*844*887*863,GD,P3,1275780
1284110,JUNIOR DE VILLA MARIA,25/06/2015,CASTAÑO,MACHO,AVID*040*042*339,GD,P3,2277710
1284120,SOFISTA DE VILLA MARIA,30/06/2015,CASTAÑO,MACHO,AVID*039*630*277,GD,P3,2905400
1284180,AMAPOLA DE LA LOMA,20/10/2014,CASTAÑO,HEMBRA,AVID*842*032*534,GD,P3,2920090
1284210,KATRINA DE LA MARIANA,05/04/2016,CASTAÑO,HEMBRA,AVID*601*303*832,GD,P3,2572620
